From	Entry	Organism
B5DE09	B5DE09	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)
B6VQA1	B6VQA1	Drosophila melanogaster (Fruit fly)
B8AH97	B8AH97	Oryza sativa subsp. indica (Rice)
B8APB5	B8APB5	Oryza sativa subsp. indica (Rice)
B8XIA5	B8XIA5	Macaca mulatta (Rhesus macaque)
B9FXT3	B9FXT3	Oryza sativa subsp. japonica (Rice)
C9JSJ3	C9JSJ3	Homo sapiens (Human)
D0PX88	D0PX88	Lotus japonicus (Lotus corniculatus var. japonicus)
D2CLZ9	D2CLZ9	Danio rerio (Zebrafish) (Brachydanio rerio)
E3SXU4	E3SXU4	Pisum sativum (Garden pea) (Lathyrus oleraceus)
E7FFX1	E7FFX1	Danio rerio (Zebrafish) (Brachydanio rerio)
F4I4E1	F4I4E1	Arabidopsis thaliana (Mouse-ear cress)
F4I8F9	F4I8F9	Arabidopsis thaliana (Mouse-ear cress)
F4IQQ9	F4IQQ9	Arabidopsis thaliana (Mouse-ear cress)
F4JCN9	F4JCN9	Arabidopsis thaliana (Mouse-ear cress)
F4JIJ7	F4JIJ7	Arabidopsis thaliana (Mouse-ear cress)
G5EEG9	G5EEG9	Caenorhabditis elegans
G5EEH5	G5EEH5	Caenorhabditis elegans
G5EEQ5	G5EEQ5	Caenorhabditis elegans
G5EF76	G5EF76	Caenorhabditis elegans
G5EFL9	G5EFL9	Caenorhabditis elegans
G5EG44	G5EG44	Caenorhabditis elegans
G5EGD2	G5EGD2	Caenorhabditis elegans
H2KZZ2	H2KZZ2	Caenorhabditis elegans
I1S491	I1S491	Gibberella zeae (strain ATCC MYA-4620 / CBS 123657 / FGSC 9075 / NRRL 31084 / PH-1) (Wheat head blight fungus) (Fusarium graminearum)
M0QWB7	M0QWB7	Mus musculus (Mouse)
O00327	O00327	Homo sapiens (Human)
O02219	O02219	Caenorhabditis elegans
O02747	O02747	Oryctolagus cuniculus (Rabbit)
O02748	O02748	Oryctolagus cuniculus (Rabbit)
O02818	O02818	Oryctolagus cuniculus (Rabbit)
O08574	O08574	Mus musculus (Mouse)
O08609	O08609	Mus musculus (Mouse)
O08785	O08785	Mus musculus (Mouse)
O08789	O08789	Mus musculus (Mouse)
O09000	O09000	Mus musculus (Mouse)
O09015	O09015	Rattus norvegicus (Rat)
O09029	O09029	Mesocricetus auratus (Golden hamster)
O09105	O09105	Mus musculus (Mouse)
O13125	O13125	Xenopus laevis (African clawed frog)
O13126	O13126	Xenopus laevis (African clawed frog)
O14503	O14503	Homo sapiens (Human)
O15516	O15516	Homo sapiens (Human)
O15945	O15945	Drosophila melanogaster (Fruit fly)
O16867	O16867	Drosophila melanogaster (Fruit fly)
O22768	O22768	Arabidopsis thaliana (Mouse-ear cress)
O22901	O22901	Arabidopsis thaliana (Mouse-ear cress)
O23090	O23090	Arabidopsis thaliana (Mouse-ear cress)
O23487	O23487	Arabidopsis thaliana (Mouse-ear cress)
O35185	O35185	Mus musculus (Mouse)
O35437	O35437	Mus musculus (Mouse)
O35779	O35779	Rattus norvegicus (Rat)
O35780	O35780	Rattus norvegicus (Rat)
O35800	O35800	Rattus norvegicus (Rat)
O35885	O35885	Mus musculus (Mouse)
O42202	O42202	Danio rerio (Zebrafish) (Brachydanio rerio)
O42606	O42606	Danio rerio (Zebrafish) (Brachydanio rerio)
O43019	O43019	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)
O43680	O43680	Homo sapiens (Human)
O44712	O44712	Caenorhabditis elegans
O45489	O45489	Caenorhabditis elegans
O49687	O49687	Arabidopsis thaliana (Mouse-ear cress)
O54792	O54792	Mus musculus (Mouse)
O55208	O55208	Mus musculus (Mouse)
O57337	O57337	Gallus gallus (Chicken)
O57539	O57539	Xenopus laevis (African clawed frog)
O57598	O57598	Gallus gallus (Chicken)
O60682	O60682	Homo sapiens (Human)
O61734	O61734	Drosophila melanogaster (Fruit fly)
O61735	O61735	Drosophila melanogaster (Fruit fly)
O73615	O73615	Xenopus laevis (African clawed frog)
O73823	O73823	Xenopus laevis (African clawed frog)
O75030	O75030	Homo sapiens (Human)
O80482	O80482	Arabidopsis thaliana (Mouse-ear cress)
O80536	O80536	Arabidopsis thaliana (Mouse-ear cress)
O80674	O80674	Arabidopsis thaliana (Mouse-ear cress)
O81037	O81037	Arabidopsis thaliana (Mouse-ear cress)
O81313	O81313	Arabidopsis thaliana (Mouse-ear cress)
O81900	O81900	Arabidopsis thaliana (Mouse-ear cress)
O88368	O88368	Rattus norvegicus (Rat)
O88529	O88529	Mesocricetus auratus (Golden hamster)
O88940	O88940	Mus musculus (Mouse)
O93507	O93507	Danio rerio (Zebrafish) (Brachydanio rerio)
O96004	O96004	Homo sapiens (Human)
O96642	O96642	Branchiostoma belcheri (Amphioxus)
O97676	O97676	Sus scrofa (Pig)
P01106	P01106	Homo sapiens (Human)
P01108	P01108	Mus musculus (Mouse)
P01109	P01109	Gallus gallus (Chicken)
P01110	P01110	Avian myelocytomatosis virus 29 (Avian myelocytomatosis virus MC29)
P03966	P03966	Mus musculus (Mouse)
P04198	P04198	Homo sapiens (Human)
P05709	P05709	Drosophila melanogaster (Fruit fly)
P06171	P06171	Xenopus laevis (African clawed frog)
P06295	P06295	Avian myelocytomatosis virus HBI
P06646	P06646	Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)
P07270	P07270	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
P09416	P09416	Rattus norvegicus (Rat)
P09774	P09774	Drosophila melanogaster (Fruit fly)
P09775	P09775	Drosophila melanogaster (Fruit fly)
P0C0N8	P0C0N8	Avian retrovirus MH2E21
P0C0N9	P0C0N9	Avian retrovirus MH2
P0C7P8	P0C7P8	Arabidopsis thaliana (Mouse-ear cress)
P0CB25	P0CB25	Arabidopsis thaliana (Mouse-ear cress)
P0DOC7	P0DOC7	Danio rerio (Zebrafish) (Brachydanio rerio)
P0DPB0	P0DPB0	Psilocybe cubensis (Psychedelic mushroom) (Stropharia cubensis)
P10083	P10083	Drosophila melanogaster (Fruit fly)
P10084	P10084	Drosophila melanogaster (Fruit fly)
P10085	P10085	Mus musculus (Mouse)
P10166	P10166	Mus musculus (Mouse)
P10395	P10395	Avian myelocytomatosis virus CMII
P10627	P10627	Drosophila melanogaster (Fruit fly)
P11420	P11420	Drosophila melanogaster (Fruit fly)
P12523	P12523	Avian retrovirus OK10
P12524	P12524	Homo sapiens (Human)
P12525	P12525	Homo sapiens (Human)
P12979	P12979	Mus musculus (Mouse)
P12980	P12980	Homo sapiens (Human)
P13027	P13027	Zea mays (Maize)
P13096	P13096	Drosophila melanogaster (Fruit fly)
P13097	P13097	Drosophila melanogaster (Fruit fly)
P13098	P13098	Drosophila melanogaster (Fruit fly)
P13349	P13349	Homo sapiens (Human)
P13526	P13526	Zea mays (Maize)
P13902	P13902	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
P13903	P13903	Xenopus laevis (African clawed frog)
P13904	P13904	Xenopus laevis (African clawed frog)
P14003	P14003	Drosophila melanogaster (Fruit fly)
P15171	P15171	Xenopus laevis (African clawed frog)
P15172	P15172	Homo sapiens (Human)
P15173	P15173	Homo sapiens (Human)
P15375	P15375	Mus musculus (Mouse)
P15806	P15806	Mus musculus (Mouse)
P15881	P15881	Canis lupus familiaris (Dog) (Canis familiaris)
P15884	P15884	Homo sapiens (Human)
P15923	P15923	Homo sapiens (Human)
P16075	P16075	Gallus gallus (Chicken)
P16076	P16076	Xenopus laevis (African clawed frog)
P17106	P17106	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
P17542	P17542	Homo sapiens (Human)
P17667	P17667	Bos taurus (Bovine)
P17920	P17920	Gallus gallus (Chicken)
P18444	P18444	Gallus gallus (Chicken)
P18491	P18491	Drosophila melanogaster (Fruit fly)
P19335	P19335	Rattus norvegicus (Rat)
P19359	P19359	Rattus norvegicus (Rat)
P19360	P19360	Rattus norvegicus (Rat)
P19484	P19484	Homo sapiens (Human)
P19532	P19532	Homo sapiens (Human)
P20067	P20067	Mus musculus (Mouse)
P20389	P20389	Marmota monax (Woodchuck)
P20428	P20428	Rattus norvegicus (Rat)
P20824	P20824	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)
P21438	P21438	Feline leukemia virus FTT
P21572	P21572	Coturnix japonica (Japanese quail) (Coturnix coturnix japonica)
P21677	P21677	Rattus norvegicus (Rat)
P22091	P22091	Mus musculus (Mouse)
P22415	P22415	Homo sapiens (Human)
P22555	P22555	Marmota monax (Woodchuck)
P22816	P22816	Drosophila melanogaster (Fruit fly)
P22980	P22980	Caenorhabditis elegans
P23409	P23409	Homo sapiens (Human)
P23583	P23583	Pan troglodytes (Chimpanzee)
P23999	P23999	Rattus norvegicus (Rat)
P24699	P24699	Mus musculus (Mouse)
P24700	P24700	Xenopus laevis (African clawed frog)
P24793	P24793	Xenopus laevis (African clawed frog)
P24899	P24899	Gallus gallus (Chicken)
P26014	P26014	Serinus canaria (Island canary) (Fringilla canaria)
P26687	P26687	Mus musculus (Mouse)
P26798	P26798	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
P27540	P27540	Homo sapiens (Human)
P27792	P27792	Mus musculus (Mouse)
P28574	P28574	Mus musculus (Mouse)
P29303	P29303	Drosophila virilis (Fruit fly)
P29331	P29331	Ovis aries (Sheep)
P30561	P30561	Mus musculus (Mouse)
P30985	P30985	Gallus gallus (Chicken)
P32607	P32607	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
P33122	P33122	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
P34060	P34060	Coturnix japonica (Japanese quail) (Coturnix coturnix japonica)
P34061	P34061	Coturnix japonica (Japanese quail) (Coturnix coturnix japonica)
P34474	P34474	Caenorhabditis elegans
P34555	P34555	Caenorhabditis elegans
P35428	P35428	Mus musculus (Mouse)
P35429	P35429	Rattus norvegicus (Rat)
P35805	P35805	Xenopus laevis (African clawed frog)
P35869	P35869	Homo sapiens (Human)
P36956	P36956	Homo sapiens (Human)
P38165	P38165	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
P41133	P41133	Mus musculus (Mouse)
P41134	P41134	Homo sapiens (Human)
P41135	P41135	Rattus norvegicus (Rat)
P41136	P41136	Mus musculus (Mouse)
P41137	P41137	Rattus norvegicus (Rat)
P41138	P41138	Rattus norvegicus (Rat)
P41139	P41139	Mus musculus (Mouse)
P41738	P41738	Rattus norvegicus (Rat)
P41739	P41739	Rattus norvegicus (Rat)
P41846	P41846	Caenorhabditis elegans
P41894	P41894	Drosophila melanogaster (Fruit fly)
P46581	P46581	Caenorhabditis elegans
P47928	P47928	Homo sapiens (Human)
P48985	P48985	Mus musculus (Mouse)
P48986	P48986	Mus musculus (Mouse)
P48987	P48987	Drosophila melanogaster (Fruit fly)
P49032	P49032	Callithrix jacchus (White-tufted-ear marmoset)
P49033	P49033	Hylobates lar (Lar gibbon) (White-handed gibbon)
P49379	P49379	Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast) (Candida sphaerica)
P49709	P49709	Carassius auratus (Goldfish)
P49811	P49811	Sus scrofa (Pig)
P49812	P49812	Sus scrofa (Pig)
P50538	P50538	Mus musculus (Mouse)
P50539	P50539	Homo sapiens (Human)
P50540	P50540	Mus musculus (Mouse)
P50541	P50541	Danio rerio (Zebrafish) (Brachydanio rerio)
P50553	P50553	Homo sapiens (Human)
P51514	P51514	Rattus norvegicus (Rat)
P52160	P52160	Danio rerio (Zebrafish) (Brachydanio rerio)
P52161	P52161	Danio rerio (Zebrafish) (Brachydanio rerio)
P52162	P52162	Gallus gallus (Chicken)
P52164	P52164	Rattus norvegicus (Rat)
P53762	P53762	Mus musculus (Mouse)
P56720	P56720	Rattus norvegicus (Rat)
P57100	P57100	Oryctolagus cuniculus (Rabbit)
P57101	P57101	Xenopus laevis (African clawed frog)
P57102	P57102	Danio rerio (Zebrafish) (Brachydanio rerio)
P59101	P59101	Gallus gallus (Chicken)
P61244	P61244	Homo sapiens (Human)
P61295	P61295	Rattus norvegicus (Rat)
P68271	P68271	Felis catus (Cat) (Felis silvestris catus)
P70120	P70120	Mus musculus (Mouse)
P70365	P70365	Mus musculus (Mouse)
P70447	P70447	Mus musculus (Mouse)
P70562	P70562	Rattus norvegicus (Rat)
P70595	P70595	Rattus norvegicus (Rat)
P70660	P70660	Mus musculus (Mouse)
P70661	P70661	Mus musculus (Mouse)
P79765	P79765	Gallus gallus (Chicken)
P79766	P79766	Gallus gallus (Chicken)
P79782	P79782	Gallus gallus (Chicken)
P79832	P79832	Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)
P79920	P79920	Xenopus laevis (African clawed frog)
P81133	P81133	Homo sapiens (Human)
P90953	P90953	Caenorhabditis elegans
P91664	P91664	Drosophila melanogaster (Fruit fly)
P97309	P97309	Mus musculus (Mouse)
P97459	P97459	Mus musculus (Mouse)
P97460	P97460	Mus musculus (Mouse)
P97481	P97481	Mus musculus (Mouse)
P97831	P97831	Rattus norvegicus (Rat)
P97832	P97832	Rattus norvegicus (Rat)
P98180	P98180	Mesocricetus auratus (Golden hamster)
Q00492	Q00492	Lytechinus variegatus (Green sea urchin) (Echinus variegatus)
Q00P32	Q00P32	Xenopus laevis (African clawed frog)
Q01068	Q01068	Drosophila melanogaster (Fruit fly)
Q01069	Q01069	Drosophila melanogaster (Fruit fly)
Q01070	Q01070	Drosophila melanogaster (Fruit fly)
Q01071	Q01071	Drosophila melanogaster (Fruit fly)
Q01664	Q01664	Homo sapiens (Human)
Q01795	Q01795	Gallus gallus (Chicken)
Q01978	Q01978	Xenopus laevis (African clawed frog)
Q02067	Q02067	Mus musculus (Mouse)
Q02346	Q02346	Rattus norvegicus (Rat)
Q02363	Q02363	Homo sapiens (Human)
Q02535	Q02535	Homo sapiens (Human)
Q02575	Q02575	Homo sapiens (Human)
Q02576	Q02576	Mus musculus (Mouse)
Q02577	Q02577	Homo sapiens (Human)
Q03062	Q03062	Rattus norvegicus (Rat)
Q04635	Q04635	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)
Q04666	Q04666	Rattus norvegicus (Rat)
Q04667	Q04667	Rattus norvegicus (Rat)
Q05195	Q05195	Homo sapiens (Human)
Q05404	Q05404	Xenopus laevis (African clawed frog)
Q05B92	Q05B92	Bos taurus (Bovine)
Q06234	Q06234	Xenopus laevis (African clawed frog)
Q06AV5	Q06AV5	Sus scrofa (Pig)
Q07016	Q07016	Xenopus laevis (African clawed frog)
Q07291	Q07291	Drosophila hydei (Fruit fly)
Q07956	Q07956	Strongylocentrotus purpuratus (Purple sea urchin)
Q07957	Q07957	Xenopus borealis (Kenyan clawed frog)
Q08856	Q08856	Gallus gallus (Chicken)
Q08874	Q08874	Mus musculus (Mouse)
Q08DI0	Q08DI0	Bos taurus (Bovine)
Q09961	Q09961	Caenorhabditis elegans
Q0J0G7	Q0J0G7	Oryza sativa subsp. japonica (Rice)
Q0JEB7	Q0JEB7	Oryza sativa subsp. japonica (Rice)
Q0JFZ0	Q0JFZ0	Oryza sativa subsp. japonica (Rice)
Q0JNI9	Q0JNI9	Oryza sativa subsp. japonica (Rice)
Q0JXE7	Q0JXE7	Arabidopsis thaliana (Mouse-ear cress)
Q0PGG7	Q0PGG7	Bos mutus grunniens (Wild yak) (Bos grunniens)
Q0V7X4	Q0V7X4	Arabidopsis thaliana (Mouse-ear cress)
Q0V9X5	Q0V9X5	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)
Q0VBL6	Q0VBL6	Mus musculus (Mouse)
Q0VCE2	Q0VCE2	Bos taurus (Bovine)
Q0VFI9	Q0VFI9	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)
Q0VG99	Q0VG99	Homo sapiens (Human)
Q0VH32	Q0VH32	Xenopus laevis (African clawed frog)
Q0VH33	Q0VH33	Xenopus laevis (African clawed frog)
Q0VH34	Q0VH34	Xenopus laevis (African clawed frog)
Q0WNR2	Q0WNR2	Arabidopsis thaliana (Mouse-ear cress)
Q10007	Q10007	Caenorhabditis elegans
Q10186	Q10186	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)
Q10574	Q10574	Caenorhabditis elegans
Q10CH5	Q10CH5	Oryza sativa subsp. japonica (Rice)
Q10KL8	Q10KL8	Oryza sativa subsp. japonica (Rice)
Q10S44	Q10S44	Oryza sativa subsp. japonica (Rice)
Q11094	Q11094	Caenorhabditis elegans
Q12398	Q12398	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
Q12772	Q12772	Homo sapiens (Human)
Q12870	Q12870	Homo sapiens (Human)
Q13516	Q13516	Homo sapiens (Human)
Q13562	Q13562	Homo sapiens (Human)
Q14190	Q14190	Homo sapiens (Human)
Q14469	Q14469	Homo sapiens (Human)
Q14582	Q14582	Homo sapiens (Human)
Q15596	Q15596	Homo sapiens (Human)
Q15672	Q15672	Homo sapiens (Human)
Q15784	Q15784	Homo sapiens (Human)
Q15788	Q15788	Homo sapiens (Human)
Q15853	Q15853	Homo sapiens (Human)
Q16559	Q16559	Homo sapiens (Human)
Q16665	Q16665	Homo sapiens (Human)
Q17103	Q17103	Asterias rubens (Common European starfish) (Asterias vulgaris)
Q17295	Q17295	Caenorhabditis briggsae
Q18053	Q18053	Caenorhabditis elegans
Q18054	Q18054	Caenorhabditis elegans
Q18277	Q18277	Caenorhabditis elegans
Q18590	Q18590	Caenorhabditis elegans
Q18612	Q18612	Caenorhabditis elegans
Q18711	Q18711	Caenorhabditis elegans
Q1ECW2	Q1ECW2	Danio rerio (Zebrafish) (Brachydanio rerio)
Q1LWL8	Q1LWL8	Danio rerio (Zebrafish) (Brachydanio rerio)
Q1PF16	Q1PF16	Arabidopsis thaliana (Mouse-ear cress)
Q1PF17	Q1PF17	Arabidopsis thaliana (Mouse-ear cress)
Q20561	Q20561	Caenorhabditis elegans
Q22717	Q22717	Caenorhabditis elegans
Q23579	Q23579	Caenorhabditis elegans
Q24167	Q24167	Drosophila melanogaster (Fruit fly)
Q26263	Q26263	Drosophila melanogaster (Fruit fly)
Q28350	Q28350	Canis lupus familiaris (Dog) (Canis familiaris)
Q28555	Q28555	Ovis aries (Sheep)
Q28566	Q28566	Ovis aries (Sheep)
Q28772	Q28772	Papio hamadryas (Hamadryas baboon)
Q28C89	Q28C89	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)
Q28DB3	Q28DB3	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)
Q28HA8	Q28HA8	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)
Q29031	Q29031	Sus scrofa (Pig)
Q2EGB9	Q2EGB9	Bos taurus (Bovine)
Q2HIV9	Q2HIV9	Arabidopsis thaliana (Mouse-ear cress)
Q2HJ27	Q2HJ27	Bos taurus (Bovine)
Q2KIN4	Q2KIN4	Bos taurus (Bovine)
Q2NL18	Q2NL18	Bos taurus (Bovine)
Q2QQ32	Q2QQ32	Oryza sativa subsp. japonica (Rice)
Q2T9Q7	Q2T9Q7	Bos taurus (Bovine)
Q2VIU1	Q2VIU1	Sus scrofa (Pig)
Q2VPD4	Q2VPD4	Mus musculus (Mouse)
Q2VPU4	Q2VPU4	Mus musculus (Mouse)
Q309Z6	Q309Z6	Eospalax fontanierii baileyi (Plateau zokor) (Eospalax baileyi)
Q32PV5	Q32PV5	Danio rerio (Zebrafish) (Brachydanio rerio)
