g006369.m1_yHMPu5000035270_wickerhamomyces_chambardii_180604.haplomerger2.final	g006369.m1_yHMPu5000035270_wickerhamomyces_chambardii_180604.haplomerger2.final
g006275.m1_yHMPu5000035686_Cyberlindnera_saturnus_SPADES.final	g003626.m1_yHMPu5000035255_wickerhamomyces_rabaulensis_170307.haplomerger2.final
g006275.m1_yHMPu5000035686_Cyberlindnera_saturnus_SPADES.final	g001698.m1_yHMPu5000035266_wickerhamomyces_onychis_170307.haplomerger2.final
g006275.m1_yHMPu5000035686_Cyberlindnera_saturnus_SPADES.final	g000249.m1_yHMPu5000034981_cyberlindnera_euphorbiae_160519.haplomerger2.final
g006275.m1_yHMPu5000035686_Cyberlindnera_saturnus_SPADES.final	g001417.m1_yHMPu5000035698_cyberlindnera_meyerae_160519.haplomerger2.final
g006275.m1_yHMPu5000035686_Cyberlindnera_saturnus_SPADES.final	g001014.m1_yHMPu5000035690_candida_vartiovaarae_160613.final
g006275.m1_yHMPu5000035686_Cyberlindnera_saturnus_SPADES.final	g004261.m1_yHMPu5000038081_candida_takata_180604.final
g006275.m1_yHMPu5000035686_Cyberlindnera_saturnus_SPADES.final	g005714.m1_yHMPu5000034598_Candida_dendrica_SPADES.final
g006275.m1_yHMPu5000035686_Cyberlindnera_saturnus_SPADES.final	g004974.m1_yHMPu5000034594_Starmera_quercuum_p31_SPADES.final
g006275.m1_yHMPu5000035686_Cyberlindnera_saturnus_SPADES.final	g005060.m1_yHMPu5000034599_candida_berthetii_190924.haplomerger2.final
g006275.m1_yHMPu5000035686_Cyberlindnera_saturnus_SPADES.final	g005602.m1_yHMPu5000034601_starmera_dryadoides_180604.final
g006275.m1_yHMPu5000035686_Cyberlindnera_saturnus_SPADES.final	g003859.m1_yHMPu5000035254_wickerhamomyces_pijperi_160928.haplomerger2.final
g006275.m1_yHMPu5000035686_Cyberlindnera_saturnus_SPADES.final	g004418.m1_yHMPu5000038049_wickerhamomyces_xylosica_180604.final
g006275.m1_yHMPu5000035686_Cyberlindnera_saturnus_SPADES.final	g003679.m1_yHMPu5000035708_candida_flosculorum_160613.haplomerger2.final
g006275.m1_yHMPu5000035686_Cyberlindnera_saturnus_SPADES.final	g012315.m1_yHMPu5000035263_Candida_solani_SPADES.final
g006275.m1_yHMPu5000035686_Cyberlindnera_saturnus_SPADES.final	g003446.m1_yHMPu5000038316_wickerhamomyces_chaumierensis_170713.haplomerger2.final
g006275.m1_yHMPu5000035686_Cyberlindnera_saturnus_SPADES.final	g002534.m1_yHMPu5000035259_wickerhamomyces_sydowiorum_170307.haplomerger2.final
g006275.m1_yHMPu5000035686_Cyberlindnera_saturnus_SPADES.final	g005325.m1_yHMH451_Wickerhamomyces_sp_nov_plate33_PLATANUS.final
g006275.m1_yHMPu5000035686_Cyberlindnera_saturnus_SPADES.final	g000966.m1_yHMPu5000038084_candida_stauntonica_170912.final
g006275.m1_yHMPu5000035686_Cyberlindnera_saturnus_SPADES.final	g000555.m1_yHMPu5000035689_candida_mycetangii_160613.final
g006275.m1_yHMPu5000035686_Cyberlindnera_saturnus_SPADES.final	g003929.m1_yHMPu5000038067_cyberlindnera_bimundalis_190924.final
g006275.m1_yHMPu5000035686_Cyberlindnera_saturnus_SPADES.final	g002927.m1_yHMPu5000035703_cyberlindnera_americana_160613.final
g006275.m1_yHMPu5000035686_Cyberlindnera_saturnus_SPADES.final	g001313.m1_yHMPu5000038105_candida_maesa_201018.final
g006275.m1_yHMPu5000035686_Cyberlindnera_saturnus_SPADES.final	g000651.m1_yHMPu5000035688_Cyberlindnera_xylosilytica_SPADES.final
g006275.m1_yHMPu5000035686_Cyberlindnera_saturnus_SPADES.final	g001103.m1_yHMPu5000026073_candida_easanensis_180604.final
g006275.m1_yHMPu5000035686_Cyberlindnera_saturnus_SPADES.final	g000174.m1_yHMPu5000038078_candida_taoyuanica_170912.final
g006275.m1_yHMPu5000035686_Cyberlindnera_saturnus_SPADES.final	g004396.m1_yHMPu5000034967_candida_freyschussii_160519.final
g006275.m1_yHMPu5000035686_Cyberlindnera_saturnus_SPADES.final	g001601.m1_yHMPu5000037903_candida_multigemmis_180604.final
g006275.m1_yHMPu5000035686_Cyberlindnera_saturnus_SPADES.final	g012637.m1_yHMPu5000035267_wickerhamomyces_lynferdii_170307.final
g006275.m1_yHMPu5000035686_Cyberlindnera_saturnus_SPADES.final	g004532.m1_yHMPu5000035267_wickerhamomyces_lynferdii_170307.final
g006275.m1_yHMPu5000035686_Cyberlindnera_saturnus_SPADES.final	g004009.m1_yHMPu5000034970_Candida_sp._SPAdes.final
g006275.m1_yHMPu5000035686_Cyberlindnera_saturnus_SPADES.final	g000938.m1_yHMPu5000034979_cyberlindnera_misumaiensis_160519.final
g006275.m1_yHMPu5000035686_Cyberlindnera_saturnus_SPADES.final	g000722.m1_yHMPu5000034969_candida_sp_160519.haplomerger2.final
g006275.m1_yHMPu5000035686_Cyberlindnera_saturnus_SPADES.final	g000339.m1_yHMPu5000037227_cyberlindnera_xishuangbannaensis_210210.final
g006275.m1_yHMPu5000035686_Cyberlindnera_saturnus_SPADES.final	g001234.m1_yHMPu5000034971_candida_sp_160519.final
g006275.m1_yHMPu5000035686_Cyberlindnera_saturnus_SPADES.final	g001793.m1_yHMPu5000034968_candida_maritima_160519.final
g006275.m1_yHMPu5000035686_Cyberlindnera_saturnus_SPADES.final	g004019.m1_yHMPu5000035270_wickerhamomyces_chambardii_180604.haplomerger2.final
g001675.m1_yHMPu5000041797_saccharomycopsis_fermentans_201018.final	g001675.m1_yHMPu5000041797_saccharomycopsis_fermentans_201018.final
g001675.m1_yHMPu5000041797_saccharomycopsis_fermentans_201018.final	g000918.m1_yHMPu5000037848_saccharomycopsis_babjevae_170912.final
g001675.m1_yHMPu5000041797_saccharomycopsis_fermentans_201018.final	g004715.m1_yHMPu5000041733_saccharomycopsis_javanensis_170912.final
g001675.m1_yHMPu5000041797_saccharomycopsis_fermentans_201018.final	g000727.m1_yHMPu5000041783_saccharomycopsis_schoenii_170912.final
g001675.m1_yHMPu5000041797_saccharomycopsis_fermentans_201018.final	g001792.m1_yHMPu5000037221_saccharomycopsis_oosterbeekiorum_210210.final
g003352.m1_yHMPu5000034743_lipomyces_starkeyi_190924.final	g003352.m1_yHMPu5000034743_lipomyces_starkeyi_190924.final
g003772.m1_yHMPu5000034996_candida_sojae_SPADES.final	g003772.m1_yHMPu5000034996_candida_sojae_SPADES.final
g005518.m1_yHMPu5000037867_metschnikowia_fructicola_190924.haplomerger2.final	g005518.m1_yHMPu5000037867_metschnikowia_fructicola_190924.haplomerger2.final
g005906.m1_yHMPu5000038078_candida_taoyuanica_170912.final	g005906.m1_yHMPu5000038078_candida_taoyuanica_170912.final
g005906.m1_yHMPu5000038078_candida_taoyuanica_170912.final	g005040.m1_yHMPu5000038084_candida_stauntonica_170912.final
g006204.m1_yHDO599_dipodascus_anamola_180604.final	g006204.m1_yHDO599_dipodascus_anamola_180604.final
g000715.m1_yHKB289_Vanderwaltozyma_sp_nov_plate33_SPADES.final	g000715.m1_yHKB289_Vanderwaltozyma_sp_nov_plate33_SPADES.final
g000715.m1_yHKB289_Vanderwaltozyma_sp_nov_plate33_SPADES.final	g002770.m1_yHMPu5000035629_yueomyces_sinensis_180604.final
g000715.m1_yHKB289_Vanderwaltozyma_sp_nov_plate33_SPADES.final	g006870.m1_yHMPu5000037921_ascoidea_asiatica_201018.final
g001915.m1_yHMPu5000034641_pichia_eremophila_170307.haplomerger2.final	g001915.m1_yHMPu5000034641_pichia_eremophila_170307.haplomerger2.final
g001915.m1_yHMPu5000034641_pichia_eremophila_170307.haplomerger2.final	g000126.m1_yHMPu5000037847_pichia_cephalocereana_201018.final
g001915.m1_yHMPu5000034641_pichia_eremophila_170307.haplomerger2.final	g004594.m1_yHMPu5000034624_pichia_nakasei_180604.final
g001550.m1_yHMPu5000034926_candida_boidinii_160519.final	g001550.m1_yHMPu5000034926_candida_boidinii_160519.final
g002099.m1_yHMPu5000035278_tortispora_phaffii_170713.final	g002099.m1_yHMPu5000035278_tortispora_phaffii_170713.final
g002099.m1_yHMPu5000035278_tortispora_phaffii_170713.final	g000021.m1_yHMPu5000035279_tortispora_starmeri_170307.final
g002099.m1_yHMPu5000035278_tortispora_phaffii_170713.final	g002447.m1_yHMPu5000035654_tortispora_ganteri_160519.haplomerger2.final
g002099.m1_yHMPu5000035278_tortispora_phaffii_170713.final	g002219.m1_yHMPu5000034571_tortispora_mauiana_190924.final
g002099.m1_yHMPu5000035278_tortispora_phaffii_170713.final	g000797.m1_yHMPu5000034572_tortispora_caseinolytica_180604.final
g002099.m1_yHMPu5000035278_tortispora_phaffii_170713.final	g001001.m1_yHDO602_tortispora_agaves_180604.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g003169.m1_yHMPu5000035673_candida_orba_160613.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g005351.m1_yHMPu5000038364_Candida_qinlingensis_SPADES.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g001737.m1_yHMPu5000035047_barnettozyma_pratensis_160519.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g000975.m1_yHMPu5000035049_Barnettozyma_wickerhamii_SPAdes.haplomerger2.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g003326.m1_yHMPu5000038389_candida_ficus_170713.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g004652.m1_yHMPu5000035254_wickerhamomyces_pijperi_160928.haplomerger2.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g001794.m1_yHMPu5000035257_wickerhamomyces_strasburgensis_170307.haplomerger2.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g004369.m1_yHMPu5000034967_candida_freyschussii_160519.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g000549.m1_yHMPu5000034970_Candida_sp._SPAdes.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g005470.m1_yHMPu5000035690_candida_vartiovaarae_160613.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g003711.m1_yHMPu5000034979_cyberlindnera_misumaiensis_160519.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g002193.m1_yHMPu5000034969_candida_sp_160519.haplomerger2.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g004591.m1_yHMPu5000035699_cyberlindnera_maclurae_160613.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g006760.m1_yHMPu5000038346_cyberlindnera_rhodanensis_170713.haplomerger2.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g000237.m1_yHMPu5000035268_wickerhamomyces_hampshirensis_160928.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g001775.m1_yHMPu5000035272_wickerhamomyces_bisporus_170307.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g003866.m1_yHMPu5000035286_candida_azyma_170307.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g000004.m1_yHMPu5000035639_wickerhamomyces_canadensis_160613.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g005618.m1_yHMPu5000035325_cyberlindnera_petersonii_180604.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g000322.m1_yHMPu5000037227_cyberlindnera_xishuangbannaensis_210210.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g002319.m1_yHMPu5000038345_cyberlindnera_veronae_170713.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g003619.m1_yHMPu5000037872_cyberlindnera_euphorbiiphila_180604.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g000336.m1_yHMPu5000034971_candida_sp_160519.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g001823.m1_yHMPu5000034968_candida_maritima_160519.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g002703.m1_yHMPu5000035702_cyberlindnera_amylophila_160613.haplomerger2.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g002371.m1_yHMPu5000035337_cyberlindnera_mississippiensis_190924.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g002901.m1_yHMPu5000035703_cyberlindnera_americana_160613.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g004508.m1_yHMPu5000037904_candida_nakhonratchasimensis_170912.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g003902.m1_yHMPu5000038067_cyberlindnera_bimundalis_190924.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g004645.m1_yHMPu5000035260_candida_peoriensis_170713.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g003453.m1_yHMPu5000038398_barnettozyma_siamensis_170713.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g001362.m1_yHMPu5000038075_candida_ulmi_170912.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g003145.m1_yHMPu5000038111_barnettozyma_sucrosica_170912.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g000777.m1_yHMH26_Wickerhamomyces_sp_nov_plate34_DISCOVAR.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g000750.m1_yHMPu5000035255_wickerhamomyces_rabaulensis_170307.haplomerger2.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g005309.m1_yHMPu5000038396_candida_dajiaensis_170713.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g000707.m1_yHQL14_Wickerhamomyces_sp_nov_plate33_MASURCA.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g001973.m1_yHMPu5000037905_candida_odintsovae_180604.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g002693.m1_yHQL14_Wickerhamomyces_sp_nov_plate33_MASURCA.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g002096.m1_yHMPu5000035266_wickerhamomyces_onychis_170307.haplomerger2.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g000988.m1_yHMPu5000038347_candida_yuanshanica_170713.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g005854.m1_yHMPu5000035271_wickerhamomyces_bovis_160928.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g001510.m1_yHMPu5000040931_candida_galis_201018.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g002506.m1_yHMPu5000035259_wickerhamomyces_sydowiorum_170307.haplomerger2.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g005354.m1_yHMH451_Wickerhamomyces_sp_nov_plate33_PLATANUS.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g002133.m1_yHDO582_wickerhamomyces_queroliae_180604.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g003484.m1_yHMPu5000026170_wickerhamomyces_silvicola_170307.haplomerger2.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g004905.m1_yHMPu5000035262_candida_silvicultrix_170307.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g000528.m1_yHMPu5000035689_candida_mycetangii_160613.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g005259.m1_yHMPu5000035037_candida_montana_160519.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g001386.m1_yHMPu5000034980_cyberlindnera_lachancei_160519.haplomerger2.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g001911.m1_yHMPu5000037870_candida_sp_170912.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g000275.m1_yHMPu5000035265_Candida_sp_SPADES.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g004163.m1_yHMPu5000035267_wickerhamomyces_lynferdii_170307.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g004560.m1_yHMPu5000035267_wickerhamomyces_lynferdii_170307.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g012923.m1_yHMPu5000035269_wickerhamomyces_ciferrii_170307.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g001269.m1_yHMPu5000035269_wickerhamomyces_ciferrii_170307.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g000410.m1_yHMPu5000035048_Barnettozyma_salicaria_SPADES.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g006739.m1_yHMPu5000035273_wickerhamomyces_anomalus_180604.haplomerger2.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g001407.m1_yHMPu5000035274_wickerhamomyces_alni_170307.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g004554.m1_yHMPu5000026157_candida_sp_170713.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g003984.m1_yHMPu5000035261_candida_ponderosae_170307.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g001326.m1_yHMPu5000035270_wickerhamomyces_chambardii_180604.haplomerger2.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g003103.m1_yHMPu5000038119_candida_coquimbonensis_170912.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g003401.m1_yHMPu5000035670_phaffomyces_opuntiae_160613.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g004828.m1_yHMPu5000035671_phaffomyces_antillensis_160613.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g000806.m1_yHMPu5000038048_wickerhamomyces_mucosus_170912.haplomerger2.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g001770.m1_yHMPu5000038049_wickerhamomyces_xylosica_180604.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g004277.m1_yHMPu5000038121_candida_hungchunana_170912.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g003782.m1_yHMPu5000038105_candida_maesa_201018.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g000619.m1_yHMPu5000035688_Cyberlindnera_xylosilytica_SPADES.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g001225.m1_yHMPu5000026073_candida_easanensis_180604.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g000148.m1_yHMPu5000038078_candida_taoyuanica_170912.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g000992.m1_yHMPu5000038084_candida_stauntonica_170912.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g001677.m1_yHMPu5000038315_wickerhamomyces_tratensis_190924.haplomerger2.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g001884.m1_yHMPu5000038385_candida_namnaoensis_170713.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g000216.m1_yHMPu5000034981_cyberlindnera_euphorbiae_160519.haplomerger2.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g001868.m1_yHMPu5000035698_cyberlindnera_meyerae_160519.haplomerger2.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g004720.m1_yHMPu5000035700_cyberlindnera_japonica_160519.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g005444.m1_yHMPu5000035701_cyberlindnera_fabianii_160519.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g004197.m1_yHDO593_barnettozyma_sp_180604.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g002868.m1_yHMPu5000034954_candida_norvegica_201018.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g000197.m1_yHMPu5000038112_barnettozyma_vustinii_170912.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g002567.m1_yHMPu5000035044_barnettozyma_californica_160519.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g004398.m1_yHMPu5000035046_barnettozyma_populi_160613.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g003871.m1_yHMPu5000035045_barnettozyma_hawaiiensis_160613.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g001937.m1_yHMPu5000038351_candida_sanyiensis_170713.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g006491.m1_yHMPu5000034594_Starmera_quercuum_p31_SPADES.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g003367.m1_yHMPu5000034596_candida_sp_160613.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g004550.m1_yHMPu5000034597_candida_stellimalicola_180604.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g000890.m1_yHMPu5000037256_cyberlindnera_galapagoensis_210210.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g002761.m1_yHMPu5000034598_Candida_dendrica_SPADES.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g003002.m1_yHMPu5000034599_candida_berthetii_190924.haplomerger2.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g003734.m1_yHMPu5000034601_starmera_dryadoides_180604.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g002075.m1_yHMPu5000038386_candida_jianshihensis_170713.haplomerger2.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g000849.m1_yHMPu5000035258_wickerhamomyces_subpelliculosus_160928.haplomerger2.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g005117.m1_yHMH617_Wickerhamomyces_sp_nov_plate34_PLATANUS.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g004882.m1_yHMPu5000038085_candida_sp_170912.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g005573.m1_yHMPu5000037888_candida_quercuum_170210.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g004066.m1_yHMPu5000034602_starmera_pachycereana_170307.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g003205.m1_yHMPu5000037842_starmera_caribaea_210210.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g001298.m1_yHMPu5000035658_starmera_amethionina_160613.haplomerger2.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g002452.m1_yHMPu5000035708_candida_flosculorum_160613.haplomerger2.final
g000225.m1_yHMPu5000035672_phaffomyces_thermotolerans_160613.final	g004959.m1_yHMPu5000038316_wickerhamomyces_chaumierensis_170713.haplomerger2.final
g004530.m1_yHMPu5000041823_dipodascus_armillariae_190924.haplomerger2.final	g004530.m1_yHMPu5000041823_dipodascus_armillariae_190924.haplomerger2.final
g000204.m1_yHMPu5000034584_candida_floricola_180604.final	g000204.m1_yHMPu5000034584_candida_floricola_180604.final
g000204.m1_yHMPu5000034584_candida_floricola_180604.final	g004664.m1_yHMPu5000037216_Starmerella_vitae_SPADES.final
g000204.m1_yHMPu5000034584_candida_floricola_180604.final	g004201.m1_yHMPu5000038107_candida_khaoyaiensis_170912.final
g000204.m1_yHMPu5000034584_candida_floricola_180604.final	g001195.m1_yHMPu5000035657_starmerella_bombicola_160613.final
g000204.m1_yHMPu5000034584_candida_floricola_180604.final	g002460.m1_yHMPu5000034588_candida_kuoi_180604.final
g001044.m1_yHMPu5000034642_candida_zeylanoides_160519.final	g001044.m1_yHMPu5000034642_candida_zeylanoides_160519.final
g000682.m1_yHMPu5000034739_lipomyces_yarrowii_190924.final	g000682.m1_yHMPu5000034739_lipomyces_yarrowii_190924.final
g000925.m1_yHMPu5000037239_wickerhamiella_brachini_210210.final	g000925.m1_yHMPu5000037239_wickerhamiella_brachini_210210.final
g000925.m1_yHMPu5000037239_wickerhamiella_brachini_210210.final	g000082.m1_yHMPu5000038352_candida_sergipensis_180604.final
